10:08:40 AM  [main] 	Initializing Control Panel
10:08:40 AM  [main] 	Windows Version: Windows 7 Professional SP1 64-bit
10:08:40 AM  [main] 	XAMPP Version: 7.2.4
10:08:40 AM  [main] 	Control Panel Version: 3.2.2  [ Compiled: Nov 12th 2015 ]
10:08:40 AM  [main] 	You are not running with administrator rights! This will work for
10:08:40 AM  [main] 	most application stuff but whenever you do something with services
10:08:40 AM  [main] 	there will be a security dialogue or things will break! So think 
10:08:40 AM  [main] 	about running this application with administrator rights!
10:08:40 AM  [main] 	XAMPP Installation Directory: "c:\users\rhennessey2019\desktop\xampp\"
10:08:40 AM  [main] 	Checking for prerequisites
10:08:40 AM  [main] 	All prerequisites found
10:08:40 AM  [main] 	Initializing Modules
10:08:40 AM  [main] 	The FileZilla module is disabled
10:08:40 AM  [main] 	The Mercury module is disabled
10:08:40 AM  [main] 	Starting Check-Timer
10:08:40 AM  [main] 	Control Panel Ready
10:08:58 AM  [Apache] 	Attempting to start Apache app...
10:08:58 AM  [Apache] 	Status change detected: running
10:08:58 AM  [Apache] 	Status change detected: stopped
10:08:58 AM  [Apache] 	Error: Apache shutdown unexpectedly.
10:08:58 AM  [Apache] 	This may be due to a blocked port, missing dependencies, 
10:08:58 AM  [Apache] 	improper privileges, a crash, or a shutdown by another method.
10:08:58 AM  [Apache] 	Press the Logs button to view error logs and check
10:08:58 AM  [Apache] 	the Windows Event Viewer for more clues
10:08:58 AM  [Apache] 	If you need more help, copy and post this
10:08:58 AM  [Apache] 	entire log window on the forums
10:09:10 AM  [Apache] 	Checking default ports...
10:09:10 AM  [Apache] 	Attempting to start Apache app...
10:09:10 AM  [Apache] 	Executing "c:\users\rhennessey2019\desktop\xampp\apache\bin\httpd.exe"
10:09:10 AM  [Apache] 	Return code: 0
10:09:10 AM  [Apache] 	Status change detected: running
10:09:11 AM  [Apache] 	Status change detected: stopped
10:09:11 AM  [Apache] 	Error: Apache shutdown unexpectedly.
10:09:11 AM  [Apache] 	This may be due to a blocked port, missing dependencies, 
10:09:11 AM  [Apache] 	improper privileges, a crash, or a shutdown by another method.
10:09:11 AM  [Apache] 	Press the Logs button to view error logs and check
10:09:11 AM  [Apache] 	the Windows Event Viewer for more clues
10:09:11 AM  [Apache] 	If you need more help, copy and post this
10:09:11 AM  [Apache] 	entire log window on the forums
10:09:16 AM  [netstat] 	Listening socket closed: 10.0.4.54:56428
10:09:16 AM  [netstat] 	Listening socket closed: 10.0.4.54:56427
10:09:16 AM  [netstat] 	Listening socket closed: 10.0.4.54:56429
10:09:23 AM  [netstat] 	New listening socket: 10.0.4.54:56430
10:09:23 AM  [netstat] 	New listening socket: 10.0.4.54:56431
10:09:23 AM  [netstat] 	New listening socket: 10.0.4.54:56432
10:09:23 AM  [netstat] 	New listening socket: 10.0.4.54:56433
10:09:23 AM  [netstat] 	New listening socket: 10.0.4.54:56434
10:09:23 AM  [netstat] 	New listening socket: 10.0.4.54:56435
